attempted	0.39391747	93
native of ausburg	0.39397645	95
crises	0.3941097	99
collected	0.3941334	98
collected	0.3941334	98
among	0.39424753	89
among	0.39424753	89
into each other	0.3945128	94
constructed	0.39465454	99
in an extreme way	0.3947832	94
punishment	0.39483333	97
bigger	0.3949017	98
bigger	0.3949017	98
be missing	0.395104	96
rarely	0.39542514	97
payed	0.39548218	93
in many places	0.395505	98
movie industry	0.3956175	93
opponents of	0.3956481	97
the 8th	0.39566964	98
compilation	0.39573577	92
caught	0.39575326	98
forewent	0.3958313	100
heroin	0.39585882	97
stirred	0.3958816	97
from those	0.3960051	95
practises	0.39605135	100
breaks	0.39623064	92
took	0.3962314	94
took	0.3962314	94
fealty	0.3965555	95
inner	0.39658248	96
is based	0.3966038	99
is based	0.3966038	99
took place	0.39663702	95
took place	0.39663702	95
took place	0.39663702	95
small	0.3966576	90
small	0.3966576	90
small	0.3966576	90
small	0.3966576	90
small	0.3966576	90
small	0.3966576	90
small	0.3966576	90
abandon	0.39690077	98
abandon	0.39690077	98
watchers	0.39691752	98
settled	0.39694995	96
settled	0.39694995	96
settled	0.39694995	96
settled	0.39694995	96
groesser werdenden = expanding	0.39695677	85
give a title	0.3970805	90
biggest	0.39711982	98
biggest	0.39711982	98
biggest	0.39711982	98
asset	0.3972928	95
asset	0.3972928	95
took over	0.39747575	97
takes place	0.39755428	99
takes place	0.39755428	99
lit	0.39765102	94
conventional	0.3977297	96
worked	0.39783624	97
worked	0.39783624	97
worked	0.39783624	97
moved up	0.39788464	100
soon	0.39790085	92
eternal	0.39798895	95
eternal	0.39798895	95
their	0.39810574	97
their	0.39810574	97
their	0.39810574	97
their	0.39810574	97
their	0.39810574	97
invention	0.398314	96
doing this	0.39832252	98
sees	0.39851034	99
over the course	0.39860174	93
holds	0.39862052	97
among them/between them	0.3986458	93
picture	0.39872873	100
picture	0.39872873	100
dives (first appearance)/appears (second appearance)	0.39874527	94
was subject to	0.3987623	97
foreign country	0.3987885	94
stored	0.3988191	98
stored	0.3988191	98
fluidity	0.39885965	93
separated	0.39890963	97
